,"{pod=""blackbox-node1-prometheus-blackbox-exporter-6d86b6b49c-sb8pw""}","{pod=""blackbox-node2-prometheus-blackbox-exporter-58d4865fdc-pffcn""}","{pod=""blackbox-node3-prometheus-blackbox-exporter-5f7b6d758-kswpr""}","{pod=""blackbox-node4-prometheus-blackbox-exporter-5f89b79b4-r4d7j""}","{pod=""blackbox-node5-prometheus-blackbox-exporter-5cd7c5ccbd-gcrt7""}","{pod=""deployment-deployer-6764cb6744-4hfnw""}","{pod=""deployment-optimizer-b4ff8c9f-g8pzz""}","{pod=""deployment-ricplt-a1mediator-57b7f7b4cc-zzgx6""}","{pod=""deployment-ricplt-alarmmanager-7c966687bb-fvp9q""}","{pod=""deployment-ricplt-appmgr-6cd7566876-sq4p5""}","{pod=""deployment-ricplt-e2mgr-848f65747c-xwrb9""}","{pod=""deployment-ricplt-e2term-opt-e2term-node2-alpha-67db65dd8bsddll""}","{pod=""deployment-ricplt-e2term-opt-e2term-node3-alpha-759647dfbf7dmjv""}","{pod=""deployment-ricplt-e2term-opt-e2term-node4-alpha-84ffb664f6rf8zt""}","{pod=""deployment-ricplt-e2term-opt-e2term-node5-alpha-6c9555699-lj8zt""}","{pod=""deployment-ricplt-o1mediator-7dbb86974c-9bgvj""}","{pod=""deployment-ricplt-rtmgr-66457fd4f5-t87jh""}","{pod=""deployment-ricplt-submgr-5d5db898dd-w99fm""}","{pod=""deployment-ricplt-vespamgr-54994bcdf9-s8jc5""}","{pod=""deployment-tiller-ricxapp-6ff54cb9c-vw7f9""}","{pod=""node-exporter-prometheus-node-exporter-gcskn""}","{pod=""node-exporter-prometheus-node-exporter-jsm7h""}","{pod=""node-exporter-prometheus-node-exporter-mp29z""}","{pod=""node-exporter-prometheus-node-exporter-tnfq8""}","{pod=""node-exporter-prometheus-node-exporter-wmpr2""}","{pod=""opt1-e2sim-node2-e2sim-helm-78d497ddcc-r56zw""}","{pod=""opt1-e2sim-node3-e2sim-helm-dc74cb86f-nw49d""}","{pod=""opt1-e2sim-node4-e2sim-helm-745f979dd5-njfw4""}","{pod=""opt1-e2sim-node5-e2sim-helm-f56db488f-cmpqr""}","{pod=""opt2-e2sim-node2-e2sim-helm-9544f7fd5-m5vjt""}","{pod=""opt2-e2sim-node3-e2sim-helm-5cccb47df-mqv89""}","{pod=""opt2-e2sim-node4-e2sim-helm-578696b845-xnkdr""}","{pod=""opt2-e2sim-node5-e2sim-helm-cf9b7856f-pw2mx""}","{pod=""r4-infrastructure-kong-57684789c7-b9kpf""}","{pod=""r4-infrastructure-prometheus-alertmanager-6d6d49b774-s5dgm""}","{pod=""r4-infrastructure-prometheus-server-5b6c9fd9c4-vjc79""}","{pod=""ricxapp-opt1-xapp1-node2-e22-7577b49cd-52xz2""}","{pod=""ricxapp-opt1-xapp1-node3-e23-7b8f9478f8-2whlx""}","{pod=""ricxapp-opt1-xapp1-node4-e24-fd79d569d-c8fdf""}","{pod=""ricxapp-opt1-xapp1-node5-e25-594f44cd4b-mmqxm""}","{pod=""ricxapp-opt2-xapp1-node2-e22-6b65dcfcf4-c7gtz""}","{pod=""ricxapp-opt2-xapp1-node3-e23-5f4c8f6c58-st2m9""}","{pod=""ricxapp-opt2-xapp1-node4-e24-54b869bc8-s9mtn""}","{pod=""ricxapp-opt2-xapp1-node5-e25-56dbfdffbb-7v7pt""}","{pod=""statefulset-ricplt-dbaas-server-0""}"
2022-11-09 17:36:00,47710208.0,39927808.0,38404096.0,37920768.0,44298240.0,342384640.0,394928128.0,98422784.0,27475968.0,40960000.0,25182208.0,47996928.0,43737088.0,44007424.0,43884544.0,78475264.0,33587200.0,32751616.0,42045440.0,17842176.0,50642944.0,33120256.0,32956416.0,33550336.0,47124480.0,4739072.0,4272128.0,4227072.0,4526080.0,,,,,1173381120.0,32727040.0,1260818432.0,25051136.0,25649152.0,25219072.0,25509888.0,,,,,14561280.0
2022-11-09 17:36:01,47710208.0,39927808.0,38404096.0,37920768.0,44298240.0,342384640.0,394928128.0,98422784.0,27475968.0,40960000.0,25182208.0,47996928.0,43737088.0,44007424.0,43884544.0,78479360.0,33587200.0,32751616.0,42045440.0,17842176.0,50642944.0,33120256.0,32956416.0,33550336.0,47124480.0,4739072.0,4272128.0,4227072.0,4526080.0,,,,,1173381120.0,32727040.0,1260818432.0,25051136.0,25649152.0,25219072.0,25509888.0,,,,,14561280.0
2022-11-09 17:36:02,47710208.0,39927808.0,38404096.0,37920768.0,44298240.0,342384640.0,394928128.0,98455552.0,27164672.0,40960000.0,25182208.0,47996928.0,43737088.0,44007424.0,43884544.0,78479360.0,33587200.0,32751616.0,41922560.0,17842176.0,50642944.0,33120256.0,32956416.0,33550336.0,47124480.0,4739072.0,4272128.0,4227072.0,4526080.0,,,,,1173381120.0,32727040.0,1266147328.0,25108480.0,25649152.0,25219072.0,25509888.0,,,,,14561280.0
2022-11-09 17:36:03,46907392.0,39927808.0,38404096.0,38486016.0,44298240.0,342384640.0,394928128.0,98455552.0,27164672.0,40960000.0,25182208.0,47996928.0,43737088.0,44007424.0,43884544.0,78479360.0,33587200.0,32751616.0,41922560.0,17842176.0,50642944.0,33120256.0,32956416.0,31420416.0,47124480.0,4739072.0,4272128.0,4227072.0,4526080.0,,,,,1173381120.0,32727040.0,1266147328.0,25108480.0,25649152.0,25219072.0,25563136.0,,,,,14561280.0
2022-11-09 17:36:04,46907392.0,39477248.0,38404096.0,38486016.0,44298240.0,342384640.0,394928128.0,98455552.0,27164672.0,40960000.0,25182208.0,47996928.0,43737088.0,44007424.0,43884544.0,78479360.0,33587200.0,32751616.0,41922560.0,17842176.0,50642944.0,33120256.0,32956416.0,32133120.0,47710208.0,4771840.0,4272128.0,4227072.0,4526080.0,,,,,1173381120.0,32727040.0,1266147328.0,25108480.0,25649152.0,25219072.0,25563136.0,,,,,14561280.0
2022-11-09 17:36:05,46907392.0,39477248.0,38404096.0,38486016.0,44298240.0,342384640.0,394928128.0,98455552.0,27164672.0,40960000.0,25182208.0,47996928.0,43737088.0,44007424.0,43884544.0,78479360.0,33587200.0,32751616.0,41922560.0,17842176.0,50642944.0,33120256.0,33677312.0,32133120.0,47710208.0,4771840.0,4308992.0,4227072.0,4526080.0,,,,,1173381120.0,32727040.0,1266147328.0,25108480.0,25649152.0,25219072.0,25563136.0,,,,,14561280.0
2022-11-09 17:36:06,46907392.0,39477248.0,38404096.0,38486016.0,44298240.0,342384640.0,394928128.0,98480128.0,27164672.0,40960000.0,25182208.0,47996928.0,43737088.0,44007424.0,43884544.0,78479360.0,33587200.0,32751616.0,41922560.0,17842176.0,50642944.0,33120256.0,33677312.0,32133120.0,47710208.0,4771840.0,4308992.0,4169728.0,4526080.0,,,,,1173381120.0,32727040.0,1266147328.0,25141248.0,25649152.0,25219072.0,25563136.0,,,,,14561280.0
2022-11-09 17:36:07,46907392.0,39477248.0,38404096.0,38486016.0,44298240.0,342392832.0,394928128.0,98480128.0,27164672.0,40960000.0,25182208.0,47996928.0,43737088.0,44007424.0,43896832.0,78479360.0,33587200.0,32751616.0,41922560.0,17842176.0,50642944.0,33120256.0,33677312.0,32133120.0,47710208.0,4771840.0,4308992.0,4169728.0,4526080.0,,,,,1173381120.0,32727040.0,1266147328.0,25141248.0,25686016.0,25128960.0,25563136.0,,,,,14561280.0
2022-11-09 17:36:08,46907392.0,39477248.0,38404096.0,38486016.0,47591424.0,342392832.0,394928128.0,98480128.0,27164672.0,40960000.0,25182208.0,47996928.0,43737088.0,44007424.0,43909120.0,78479360.0,33587200.0,32751616.0,41922560.0,17842176.0,50642944.0,33120256.0,33677312.0,32133120.0,47710208.0,4771840.0,4308992.0,4169728.0,4526080.0,,,,,1173381120.0,32727040.0,1266147328.0,25141248.0,25686016.0,25128960.0,25563136.0,,,,,14561280.0
2022-11-09 17:36:09,46907392.0,39477248.0,38404096.0,38486016.0,47591424.0,342392832.0,394928128.0,98480128.0,27164672.0,40960000.0,25182208.0,48009216.0,43737088.0,44007424.0,43909120.0,78479360.0,33587200.0,32751616.0,41922560.0,17842176.0,50642944.0,33120256.0,33677312.0,32133120.0,47710208.0,4771840.0,4308992.0,4169728.0,4554752.0,,,,,1173381120.0,32727040.0,1266147328.0,25141248.0,25686016.0,25157632.0,25563136.0,,,,,14548992.0
